Employee Id,Education Level,Department,Job Tenure,Technical Skills,Quality_of_Work,Workload,Peer_Feedback,Code_Quality,Project_Completion_Rate,Debugging_Skills,Time_Management,Learning_Growth,Performance
1,Master's,Database,5,"SSRS, MSSQL, MySQL, Oracle, Data Modelling, PowerBI",Good,Low,5,Good,93,Good,Good,No,Meets Expectations
2,Bachelor's,Frontend,6,"Angular JS, HTML, CSS, Bootstrap, Java Script",Excellent,Medium,8,Excellent,98,Good,Good,Yes,Meets Expectations
3,Bachelor's,DevOps,5,"Jenkins, Git, Security, Automation, Cloud management",Good,Medium,9,Good,88,Good,Good,Yes,Meets Expectations
4,PhD,.Net,2,"C#, .Net Core Framework, ASP.Net, Visual Basic .Net, Entity Framework",Poor,Low,7,Poor,17,Poor,Poor,No,Needs Improvement
5,Bachelor's,DevOps,6,"Jenkins, Git, Ansible, Security, Automation, Cloud management",Good,Medium,3,Good,35,Good,Poor,No,Needs Improvement
6,Master's,.Net,2,"C#, .Net Core Framework, ASP.Net, Visual Basic .Net, LinQ, Entity Framework",Good,Medium,9,Excellent,80,Good,Excellent,Yes,Exceeds Expectations
7,Master's,DevOps,10,"Jenkins, Git, Ansible, Security, Automation, Cloud management",Excellent,High,9,Excellent,98,Excellent,Excellent,Yes,Exceeds Expectations
8,PhD,Frontend,4,"Angular JS, HTML, CSS, Bootstrap, Java Script",Poor,Medium,2,Poor,45,Poor,Good,No,Needs Improvement
9,PhD,Frontend,2,"Node JS, HTML, CSS, Bootstrap, Java Script",Excellent,Medium,5,Good,67,Good,Good,Yes,Meets Expectations
10,PhD,DevOps,4,"Jenkins, Git, Security, Automation, Cloud management",Good,Low,4,Good,40,Low,Good,No,Needs Improvement
11,PhD,Frontend,3,"Node JS, HTML, CSS, Bootstrap, Java Script",Poor,Low,2,Poor,10,Poor,Poor,No,Needs Improvement
12,Master's,Mobile,2,Android,Good,Low,5,Good,50,Good,Good,No,Needs Improvement
13,Master's,.Net,6,"C#, .Net Core Framework, ADO.Net, Visual Basic .Net, LinQ, Entity Framework",Good,High,7,Good,57,Good,Good,Yes,Meets Expectations
14,PhD,Database,10,"MSSQL, MongoDB, Data Modelling, PowerBI, BigData, SSIS, Data Warehouse",Excellent,Medium,9,Good,86,Excellent,Excellent,Yes,Exceeds Expectations
15,Master's,Mobile,4,iOS,Good,High,3,Good,44,Good,Good,Yes,Meets Expectations
16,Bachelor's,Frontend,1," HTML, CSS, Bootstrap",Good,Low,3,Good,53,Good,Good,No,Needs Improvement
17,Master's,DevOps,4,"Jenkins, Git, Security, Automation, Cloud management",Good,Medium,0,Good,83,Poor,Good,No,Needs Improvement
18,Master's,Frontend,9,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script",Excellent,High,10,Excellent,99,Excellent,Excellent,Yes,Exceeds Expectations
19,Bachelor's,DevOps,0,"Jenkins, Git, Automation",Poor,low,2,Poor,10,Poor,Poor,No,Needs Improvement
20,Master's,Database,2,"MSSQL, Data Modelling, Data Warehouse",Good,Low,5,Good,60,Good,Good,Yes,Meets Expectations
21,Bachelor's,Frontend,4,"Angular JS, HTML, CSS, Bootstrap, Java Script",Good,Medium,4,Good,50,Good,Good,Yes,Meets Expectations
22,Bachelor's,Frontend,7,"Angular JS, HTML, CSS, Bootstrap, Java Script",Excellent,High,8,Good,80,Good,Good,Yes,Meets Expectations
23,Master's,Mobile,1,"Android, Flutter",Good,Low,4,Good,50,Good,Good,No,Needs Improvement
24,PhD,Mobile,6,"iOS, React Native, Flutter",Good,Medium,7,Good,70,Good,Good,Yes,Meets Expectations
25,PhD,DevOps,9,"Jenkins, Git, Security, Automation, Cloud management",Good,High,8,Good,90,Good,Good,Yes,Meets Expectations
26,PhD,.Net,1,"C#, .Net Core Framework, Visual Basic .Net, Entity Framework",Good,Low,4,Good,38,Good,Poor,No,Needs Improvement
27,Master's,.Net,2,"C#, .Net Core Framework, ASP.Net, Visual Basic .Net, Entity Framework",Poor,Low,3,Poor,30,Poor,Poor,No,Needs Improvement
28,Bachelor's,Python & ML,2,"Python,ML models , MSSQL, Flask",Good,Low,4,Poor,30,Poor,Poor,No,Needs Improvement
29,Master's,.Net,9,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework, MVC",Excellent,High,10,Excellent,98,Excellent,Good,Yes,Exceeds Expectations
30,Bachelor's,Frontend,1,"Node JS, HTML, CSS, Bootstrap, Java Script",Good,Medium,6,Good,42,Good,Good,Yes,Meets Expectations
31,Bachelor's,Mobile,5,"iOS, Android, Flutter",Excellent,Medium,8,Good,85,Good,Good,No,Meets Expectations
32,Master's,Mobile,2,"Android, Flutter",Good,Low,7,Good,93,Good,Excellent,Yes,Exceeds Expectations
33,Master's,Frontend,0,"HTML, CSS, Bootstrap",Poor,Low,1,Poor,10,Poor,Poor,No,Needs Improvement
34,PhD,Frontend,8,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script",Excellent,High,8,Good,85,Good,Good,Yes,Meets Expectations
35,Master's,Database,0,"SSRS, MSSQL, Data Modelling",Poor,Low,2,Poor,24,Poor,Poor,No,Needs Improvement
36,Bachelor's,Frontend,10,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script",Excellent,High,8,Excellent,95,Good,Good,No,Meets Expectations
37,Bachelor's,DevOps,8,"Jenkins, Git, Ansible, Security, Automation, Cloud management",Good,Medium,8,Good,71,Good,Good,Yes,Meets Expectations
38,PhD,Frontend,2,"HTML, CSS, Bootstrap, Java Script",Good,Medium,2,Good,36,Good,Poor,No,Needs Improvement
39,Bachelor's,Mobile,5,"iOS, Android, Flutter",Good,Medium,5,Good,57,Low,Good,No,Needs Improvement
40,Master's,DevOps,7,"Jenkins, Git, Ansible, Security, Automation, Cloud management",Excellent,Medium,9,Good,95,Good,Good,Yes,Meets Expectations
41,PhD,DevOps,1,"Jenkins, Git, Automation",Good,Low,6,Good,35,Good,Good,Yes,Meets Expectations
42,PhD,.Net,2,"C#, .Net Core Framework, ASP.Net, Visual Basic .Net, Entity Framework",Good,Low,5,Poor,3,Poor,Poor,No,Needs Improvement
43,Master's,Database,8,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling, PowerBI, BigData, SSIS, Data Warehouse",Excellent,Medium,9,Good,69,Good,Excellent,Yes,Meets Expectations
44,PhD,DevOps,1,"Jenkins, Git",Excellent,Low,7,Good,79,Good,Good,Yes,Exceeds Expectations
45,PhD,Python & ML,10,"Python,ML models, DL models, TensorFlow, Pytorch, MSSQL, Postgresql, Django, Flask",Excellent,Medium,8,Good,53,Good,Good,Yes,Meets Expectations
46,Bachelor's,.Net,10,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework, MVC",Good,High,9,Good,85,Good,Good,Yes,Exceeds Expectations
47,Master's,.Net,1,"C#, .Net Core Framework, ASP.Net",Good,Low,4,Good,21,Good,Poor,No,Needs Improvement
48,Master's,Mobile,2,Android,Good,Medium,5,Good,45,Good,Good,Yes,Meets Expectations
49,PhD,Frontend,9,"Angular JS, Node JS, HTML, CSS, Bootstrap, Java Script",Good,Medium,7,Good,80,Good,Good,No,Meets Expectations
50,Master's,Python & ML,7,"Python,ML models, DL models, TensorFlow, Pytorch, MSSQL,  Django, Flask",Good,Medium,7,Good,63,Good,Excellent,Yes,Exceeds Expectations
51,Master's,DevOps,4,"Jenkins, Git, Security",Good,Low,1,Good,77,Good,Good,No,Needs Improvement
52,Bachelor's,Database,8,"SSRS, MSSQL, MySQL, Oracle, MongoDB, Data Modelling, PowerBI, BigData, SSIS, Data Warehouse, Data Mining",Excellent,High,7,Excellent,90,Excellent,Good,Yes,Exceeds Expectations
53,Master's,DevOps,4,"Jenkins, Git, Security, Automation",Good,Medium,3,Poor,59,Poor,Good,No,Needs Improvement
54,Master's,Python & ML,9,"Python,ML models, DL models, TensorFlow, Pytorch, MSSQL, Postgresql, Django, Flask",Good,Medium,7,Good,90,Good,Good,Yes,Meets Expectations
55,Bachelor's,Mobile,7,"iOS, Android, React Native, Flutter",Good,Medium,7,Good,75,Good,Good,Yes,Meets Expectations
56,Master's,Database,1,"SSRS, MSSQL, MySQL, Data Modelling",Excellent,Medium,5,Good,82,Good,Good,Yes,Meets Expectations
57,Bachelor's,DevOps,3,"Jenkins, Git,  Automation, Cloud management",Good,Low,5,Poor,40,Poor,Good,No,Needs Improvement
58,Bachelor's,Database,2,"SSRS, MSSQL, MySQL,Data Modelling",Good,Medium,2,Good,19,Good,Poor,No,Needs Improvement
59,PhD,Mobile,3,"iOS, Flutter",Good,High,7,Good,50,Good,Excellent,Yes,Meets Expectations
60,Bachelor's,DevOps,3,"Jenkins, Git, Automation",Good,Medium,3,Low,60,Low,Good,No,Needs Improvement
61,PhD,DevOps,4,"Jenkins, Git, Security, Automation",Good,High,9,Excellent,80,Excellent,Excellent,Yes,Exceeds Expectations
62,Bachelor's,Python & ML,2,"Python,ML models, MSSQL",Good,Medium,8,Good,35,Good,Good,Yes,Meets Expectations
63,Master's,.Net,7,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework, MVC",Excellent,High,8,Excellent,98,Excellent,Excellent,Yes,Exceeds Expectations
64,Master's,Python & ML,0,Python,Good,Low,1,Good,13,Good,Poor,No,Needs Improvement
65,PhD,Mobile,7,"iOS, Android, React Native, Flutter",Good,High,9,Excellent,95,Excellent,Excellent,Yes,Exceeds Expectations
66,Bachelor's,Mobile,4,"iOS, Android, Flutter",Poor,Low,4,Poor,50,Good,Good,No,Needs Improvement
67,Bachelor's,Mobile,1,iOS,Good,Low,5,Good,59,Good,Good,No,Meets Expectations
68,Bachelor's,.Net,7,"C#, .Net Core Framework, ASP.Net, ADO.Net, Visual Basic .Net, LinQ, Entity Framework, MVC",Good,High,9,Good,58,Good,Good,Yes,Meets Expectations
69,PhD,.Net,3,"C#, .Net Core Framework, ASP.Net, Visual Basic .Net, LinQ, Entity Framework",Good,Low,3,Good,34,Poor,Poor,No,Needs Improvement
70,Master's,Python & ML,8,"Python,ML models, DL models, TensorFlow, Pytorch, MSSQL, Postgresql, Django, Flask",Good,High,8,Excellent,75,Excellent,Excellent,Yes,Exceeds Expectations
71,Master's,DevOps,9,"Jenkins, Git, Ansible, Security, Automation, Cloud management",Good,High,9,Good,90,Good,Good,Yes,Meets Expectations
72,Bachelor's,Python & ML,3,"Python,ML models, DL models, TensorFlow, Pytorch, MSSQL, Django",Excellent,Medium,9,Excellent,65,Excellent,Excellent,Yes,Exceeds Expectations
73,Bachelor's,Mobile,8,"iOS, Android, React Native, Flutter",Good,High,8,Excellent,95,Excellent,Excellent,Yes,Exceeds Expectations
74,Master's,DevOps,3,"Jenkins, Git, Automation, Cloud management",Poor,Low,4,Poor,39,Poor,Good,No,Needs Improvement
75,PhD,Python & ML,5,"Python,ML models, DL models, TensorFlow, MSSQL, Postgresql, Django, Flask",Good,Medium,2,Good,50,Poor,Good,No,Needs Improvement
76,PhD,Python & ML,4,"Python,ML models, DL models, TensorFlow",Good,High,6,Good,85,Good,Good,No,Meets Expectations
77,Master's,DevOps,8,"Jenkins, Git, Ansible, Security, Automation, Cloud management",Good,Medium,5,Good,52,Good,Excellent,Yes,Meets Expectations
78,Master's,Mobile,1,iOS,Poor,Low,5,Poor,25,Poor,Poor,No,Needs Improvement
